test,sentiment,company
"Rocket is very good in terms of security,service charge but availability should be increase.",,b
"Customer service,  security,  availability  both are fine. But service charge is little bit 
 expensive. ",,n
"Don't Rocket is very good in terms of security,service charge but availability should be increase.",,n
"Rocket is very good in terms of security,service charge but availability should be increase.",,n
"Availability should be increased .Rocket is very good in terms of security,service charge but availability should be increase.",,n
"Rocket is very good in terms of security,service charge but availability should be increase.",,n
"Rocket is very good in terms of security,service charge but availability should be increase.",,n
"Rocket is very good in terms of security,service charge but availability should be increase.",,n
Its good.Availability should be increased ,,n
"Rocket is very good in terms of security,service charge but availability should be increase.",,n
yeah this is very much helpful for me,,n
Availability should be increased ,,n
"Rocket is very good in terms of security,service charge but availability should be increase.",,n
"Rocket is very good in terms of security,service charge but availability should be increase.Availability should be increased ",,n
"Considering customer service, security, availability, and service charge what is your opinion on Nagad as a mobile financial service (MFS) provider in Bangladesh?",,n
Not Famous that much. Not available shop is for money exchange,,n
test Nagad,,n
Very Good Service,,n
Yes,,n
They are becoming popular but the problem is shop is not available everywhere . I am  also concern with security. ,,n
 No Idea,,n
"Sorry, i dont use nagad yet ",,n
i haven't use it yet. so i don't know about it .,,n
I am not user nagod.I don’t know about nagod.,,n
i don't use this service,,n
I don't use.,,n
no idea,,n
Nothing,,n
No idea.,,n
no idea,,n
No idea,,n
It is easy to use. ,,n
Don't know anything about it. ,,n
Did n't use,,n
Its really good ,,n
nothing ,,n
Dont know,,n
I don’t know ,,n
Use But not like,,n
Nothing,,n
Haven't used it.,,n
I have no idea,,n
I did not even used  it yet..so cannot say anything about it,,n
Don't know,,n
"service is good, security is good, availability is good .",,n
Excess customers service ,,n
I don't know about it.,,n
I didn't using this. so I don't have any opinion about this.,,n
Availability and security,,n
I did not use,,n
I did not use it at all.,,n
"service is good, security is good, availability is good .",,n
"service is good, security is good, availability is good .
",,n
"service is good, security is good, availability is good .",,n
All service are ok. I am happy for using nagad.,,n
Don't know,,n
I didn't using this. so I don't have any opinion about this.,,n
I didn't using this. so I don't have any opinion about this.,,n
"service is good, security is good, availability is good .",,n
I didn't using this. so I don't have any opinion about this.,,n
I didn't using this. so I don't have any opinion about this.,,n
"service is good, security is good, availability is good .",,n
"service is good, security is good, availability is good .",,n
i have but i don't use that ,,n
don't know anything,,n
Pretty Good,,n
"service is good, security is good, availability is good .",,r
"service is good, security is good, availability is good .",,r
"Not good , Verd bad , Take extra mony as service charge.",,r
Good. ,,r
I don't know ,,r
Don't have any idea ,,r
Not spplicable,,r
I didn't using this. so I don't have any opinion about this.,,r
I have no idea about this.,,r
"service is good, security is good, availability is good .",,r
I didn't use it.I didn't using this. so I don't have any opinion about this.,,r
"I knew about few days ago.But, I am not clear about this properly.If it will benefitable.I will use it.Thanks",,r
"service is good, security is good, availability is good .",,r
Nagod service is not used ,,r
"No idea.I have not used it yet. So, the opinion about it is unknown to me.",,r
"service is good, security is good, availability is good .",,r
No idea about it. But I am familier with that. It is not good .Very bad service provide.,,r
Very much good.,,r
They are Very new..  ,,r
It cut tomuch moneyIt cut tomuch money to retrieve cash to retrieve cash,,u
I have no sure Nagad account,,u
"service is good, security is good, availability is good .",,u
"service is good, security is good, availability is good .",,u
"I have not used it yet. So, the opinion about it is unknown to me.",,u
"Good.I have not used it yet. So, the opinion about it is unknown to me.",,u
"I don't use .I have not used it yet. So, the opinion about it is unknown to me.",,u
Also I have no idea.,,u
"I have no recommend.I have not used it yet. So, the opinion about it is unknown to me.",,u
"Now people use Nagad as well.I have not used it yet. So, the opinion about it is unknown to me.",,u
I don't no.I didn't have any transection as i use bkash before.  But their system and business goal is very good.  I think they should come up with something new and effective to attract people for using Nagad like bkash.      ,,u
"I have not used it yet. So, the opinion about it is unknown to me.I didn't have any transection as i use bkash before.  But their system and business goal is very good.  I think they should come up with something new and effective to attract people for using Nagad like bkash.      ",,u
No experience.I didn't using this. so I don't have any opinion about this.,,u
I didn't have any transection as i use bkash before.  But their system and business goal is very good.  I think they should come up with something new and effective to attract people for using Nagad like bkash.      ,,u
