Timestamp,Have you used Bkash?,"Considering customer service, security, availability, and service charge what is your opinion on Bkash as a mobile financial service (MFS) provider in Bangladesh?",Have you used Rocket?,"Considering customer service, security, availability, and service charge what is your opinion on Rocket as a mobile financial service (MFS) provider in Bangladesh?",Have you used SureCash? ,"Considering customer service, security, availability, and service charge what is your opinion on SureCash as a mobile financial service (MFS) provider in Bangladesh?",Have you used Nagad?,"Considering customer service, security, availability, and service charge what is your opinion on Nagad as a mobile financial service (MFS) provider in Bangladesh?"
6/19/2020 23:00,Yes,i don't have any accaount ,No,yeah this is very much helpful for me,No,i don't have ,No,i have but i don't use that 
6/19/2020 23:00,Yes,Everything is fine without the charged amount. It should be less,No,Availability should be increased ,No,I don't know anything about shure cash,No,don't know anything
6/19/2020 23:05,Yes,yes,No,Not much,No,I dont know about it,No,Pretty Good
6/19/2020 23:08,Yes,not good,No,good,No,no comments,No,best
6/19/2020 23:08,Yes,"Service is good but security is not secure, service charge is also high ",Yes,No Idea,No,N/A ,No,N/A
6/19/2020 23:08,Yes,Charge is very heavy,Yes,Not good,No,Not good,No,Not good
6/19/2020 23:11,Yes,Good.,Yes,Good.,No,Good.,No,Good. 
6/19/2020 23:12,Yes,Yeas,Yes,I don't know ,No,I don't know ,No,I don't know 
6/19/2020 23:13,Yes,Yes,Yes,Yes,No,Don’t have any idea ,No,Don't have any idea 
6/19/2020 23:14,Yes,"Service charge is so high, I think bkash is exploiting people.",Yes,Not applicable,No,Not applicable,No,Not spplicable
6/19/2020 23:20,Yes,It's a very good service as a mobile financual service,Yes,It's also,No,It's too,No,It's also
6/19/2020 23:24,Yes,Good and very useful. ,Yes,I have no idea about this.,No,I have no idea about this.,No,I have no idea about this.
6/19/2020 23:28,Yes,"service is good, security is good, availability is good and service charge is much.",Yes,"service is good, security is good, availability is good .",No,"service is good, security is good, availability is good .",No,"service is good, security is good, availability is good ."
6/19/2020 23:31,Yes,"In the Bkash customer service, security, and also service charge are not satisfied me. Especially, here poor security and too much charges. ",Yes,Service charge is high. ,No,I didn't use it. ,No,I didn't use it.
6/19/2020 23:32,Yes,"Bkash is the significant medium of transaction at present time.But,it's service charge make us insatisfied.Compared to other transaction medium,it's too much costable.Besides,it's insecure.",Yes,Rocket is better than Bkash. It takes less charge compared to Bkash.It's secured.,No,Customer service didn't make me satisfied.,No,"I knew about few days ago.But, I am not clear about this properly.If it will benefitable.I will use it.Thanks"
6/19/2020 23:34,Yes,My mobile bKash service is varey good system ,Yes,My Mobile  Service  Rocket no Abol Abol so rocket service no varey good ,No,Good ,No,Good 
6/19/2020 23:46,Yes,My used is bKash  service  is varey good ,Yes,Rocker  service is not Abol Abol so Rocket service is varey bad,No,Surecash is no abol abol so surecash is varey bad,No,Nagod service is not used 
6/19/2020 23:53,Yes,The cash out rate is very high,Yes,Cash out charge is very high,No,No idea ,No,No idea
6/19/2020 23:57,Yes,nothing,Yes,nothing,No,nothing,No,nothing
6/20/2020 0:20,Yes,Good,Yes,No idea,No,No idea,No,No idea
6/20/2020 0:40,Yes,Excellent service  ,Yes,Excellent service ,No,I don’t know.   ,No,Very much good.
6/20/2020 2:23,Yes,"Their Security is need to be strong. Like rocket as per my opinion, they can use extra digit like rocket.   ",Yes,I am satisfied  ,No,I have no idea ,No,They are Very new..  
6/20/2020 5:22,Yes,It cut tomuch money to retrieve cash,Yes,It cut tomuch money to retrieve cash,No,It cut tomuch money to retrieve cash,No,It cut tomuch moneyIt cut tomuch money to retrieve cash to retrieve cash
6/20/2020 11:05,Yes,Yes but it charges too much,Yes,Yes,No,I have no sure cash account,No,I have no sure Nagad account
6/20/2020 12:35,Yes,service charge they takes high. security is good,Yes,not using,No,not using,No,not using
6/20/2020 13:39,Yes,Should be more secure ,Yes,No idea,No,No idea,No,No idea
6/20/2020 13:41,Yes,It is much more comfortable.,Yes,It is also comfortable.,No,"I have not used it. So, I am not saying about this in this moment.",No,"I have not used it yet. So, the opinion about it is unknown to me."
6/20/2020 13:56,Yes,Is good,Yes,Is good,No,"Good
",No,Good
6/20/2020 15:58,Yes,service charge is very high.,Yes,I don't use ,No,I do n't use ,No,I don't use 
6/20/2020 18:21,Yes,It is good services organization. but I think some problem have this system.First one cut money then no secure .  recently many people problem face to secure system. ,Yes,Rocket is good services in our country. personally I like to this services.   ,No,I have no idea.,No,Also I have no idea.
6/20/2020 20:20,Yes,"Yes i have some issue customer service, need to rapidl, and must be reduce service charge, including every thousands charge should be under 10 tk.        ",Yes,I have no recommend ,No,I have no recommend ,No,I have no recommend 
6/20/2020 22:41,Yes,I think it's good for everyone because everyone used it. ,Yes,"Along with development, rocket are now very popular because we can withdraw money from any Dutch Bangla Bank booth.",No,I can't say anything because I don't use it.,No,Now people use Nagad as well.
6/20/2020 22:42,Yes,Good but cash out rate is high. ,Yes,I don't no.,No,I don't no.,No,I don't no.
6/20/2020 22:48,Yes,Service charge is more.  ,Yes,No,No,No,No,No
6/20/2020 23:09,Yes,I have no experience.,Yes,No experience.,No,No experience.,No,No experience.
6/20/2020 23:23,Yes,Easy to use and if user is aware then security is so far good.  ,Yes,For some initial process i find it confusing. Other financial service     is good. But as a mobile banking they Couldn't catch our attention and fullfill demands.   ,No,I didn’t use it at all.  ,No,I didn’t have any transection as i use bkash before.  But their system and business goal is very good.  I think they should come up with something new and effective to attract people for using Nagad like bkash.      
6/20/2020 23:38,Yes,"It's too much good,I think.",Yes,Personally I think it's not bad.,No,"Sorry,because still I can't use it.",Yes,"It's in average,I think."
6/21/2020 2:42,Yes,"Customer service and availability of Bkash is good. Security seems good to me but sometimes some scammers try to create some problems which is a big concern. Also service charge is too much. In other countries, service charges are less even the new growing Nagad is charging less than Bkash. They should take this under consideration as they have a lot of users and try to reduce the service charges.",Yes,I don't use rocket.,No,I don't use SureCash.,Yes,"I am new to this service but it looks great. As it is new, it's availability is less. Security wise it seems good. Service charges are less than any other MFS of Bangladesh. But yes if they can reduce the charges then it would be better for the users also it will be a big blow to other service providers."
6/21/2020 5:04,Yes,It's good. But sometimes they shut down services for verification purpose. which feel harassment  ,Yes,it's not as good services as bkash,No,don't know,Yes,don't know
6/21/2020 8:09,Yes,It is very much effective  ,Yes,user friendly ,No,not sure,Yes,not sure
6/21/2020 8:20,Yes,Service search should be reduce ,Yes,Should be more availability,No,I don't know,Yes,I don't know
6/21/2020 9:45,Yes,Bkash has good service overall. But their transaction charge is way too high. Also their security is not up to standard.,Yes,I haven't used it,No,I haven't used it,Yes,I haven't used it
6/21/2020 10:24,Yes,Overall bikash is best till now,Yes,It's good,No,Don't know much about it,Yes,Its not popular but it wil be
6/21/2020 16:55,Yes,"I thing security purpose is good.
but the main issue is charge. what a charge! they cut the charge just shameful attitude.
Most of the time we are using bkash. it is really easy for us if they cut rate our money charge so that it will better for use.",Yes,I thing it is more comfortable use than bkash,No,people thought it is also using better for their purpose ,Yes,"No idea actually.
Because I never use this service "
6/21/2020 17:04,Yes,Its too much coast for cashout.it should be under 10tk cost for thousand.,Yes,I am not using Rocket.,No,I am not using SureCash.,Yes,I am not using Nagad.
6/21/2020 17:05,Yes,No,Yes,Yes,No,No,Yes,Yes
6/21/2020 19:56,Yes,yes,Yes,yes,No,why not,Yes,yes
6/21/2020 21:10,Yes,It's excellent for availability and usaBility but in terms of security hack they are not susceptible to theft.,Yes,"Quick, descent, customer service not so much.",No,N/A,Yes,N/A
6/22/2020 10:31,Yes,One of the best MFS services in bangladesh right now. Secured and user friendly.,Yes,"I don't think it is better than bkash. Maybe I should sometime, to get the first hand experience.",No,No idea,Yes,No idea
6/22/2020 13:22,Yes,service charge is high,Yes,service charge is high,No,N/A,Yes,N/A
6/22/2020 15:41,Yes,Yeah its not efficiency impress me ,Yes,Marketing is not good enough and its booth of service is not available everywhere ,No,Dont know about it,Yes,Dont know about it
6/22/2020 23:21,Yes,Security not so strong,Yes,Security not so strong,No,not so popuar,Yes,Good initiative
6/23/2020 9:47,Yes,"Bkash availability is more than any other MFS in Bangladesh, but secuirity is the main concern here. Mass people faces fraudulent issue via bkash most of the time.",Yes,Service is good. Security and service charge is better than any other MFS in BD. Also available almost everywhere and easier to make transaction from ATM.,No,Not available everywhere. No idea about security and service.,Yes,Service and service charge is good from customer point of view. Now a days it is also available almost everywhere.
6/24/2020 8:03,Yes,null,Yes,null,Yes,null,Yes,null
